,time,temperature_heat,heat_demand,COP_hp,electricity_price,electricity_price_raw,outside_temperature
3368,2013-05-21 08:00:00,60.416283,1.51760537425677,4.2296624,143.75084326484017,182.1461320324681,14.396393
3369,2013-05-21 09:00:00,60.0,1.4628618905941646,4.3414702,139.31084326484017,167.18352655191015,15.198639
3370,2013-05-21 10:00:00,60.0,1.3903906395037968,4.402518,146.93084326484018,192.86259271448938,15.714996
3371,2013-05-21 11:00:00,60.0,1.2979728877544403,4.4619675,139.6008432648402,168.16081384681146,16.203522
3372,2013-05-21 12:00:00,60.0,1.1981122121214867,4.463868,137.9708432648402,162.66778525822824,16.218903
3373,2013-05-21 13:00:00,60.0,1.0892528643210728,4.4755545,133.49084326484018,147.57038153009768,16.314117
3374,2013-05-21 14:00:00,60.0,0.9686192000905672,4.4897227,131.80084326484018,141.87515557015558,16.427399
3375,2013-05-21 15:00:00,60.0,0.8393139143784841,4.510556,132.14084326484019,143.0209406745226,16.59317
3376,2013-05-21 16:00:00,60.0,0.7113522340854009,4.5149426,134.6308432648402,151.4121315859166,16.627838
3377,2013-05-21 17:00:00,60.0,0.7000000000000001,4.467919,138.31084326484017,163.8135703625953,16.251373
3378,2013-05-21 18:00:00,60.0,0.7000000000000001,4.381656,142.9208432648402,179.34906839533676,15.540924
3379,2013-05-21 19:00:00,60.637356,0.7000000000000001,4.1842456,145.0408432648402,186.4933755166843,14.075836
3380,2013-05-21 20:00:00,61.48747,0.7000000000000001,4.0181465,138.4708432648402,164.3527633528857,12.84317
3381,2013-05-21 21:00:00,61.937023,0.7000000000000001,3.9357445,131.93084326484018,142.31324987476648,12.191315
3382,2013-05-21 22:00:00,62.31738,0.7000000000000001,3.8686852,124.65084326484019,117.77996881655433,11.639801
3383,2013-05-21 23:00:00,62.52212,0.7712049931287766,3.8336082,121.4608432648402,107.02980857263992,11.342926
3384,2013-05-22 00:00:00,62.777206,0.8661729618906975,3.7906961,118.79084326484019,98.03202554716924,10.973053
3385,2013-05-22 01:00:00,62.962246,0.9677219887574514,3.760208,114.48084326484019,83.5075143712222,10.704742
3386,2013-05-22 02:00:00,63.26212,1.0791934356093407,3.7118824,109.77084326484018,67.63502071954922,10.269928
3387,2013-05-22 03:00:00,63.27104,1.1939001729091008,3.7104309,109.95084326484019,68.2416128336259,10.256989
3388,2013-05-22 04:00:00,63.120518,1.3052832285563152,3.734505,118.52084326484018,97.12213737605423,10.47525
3389,2013-05-22 05:00:00,62.519424,1.3940723339716594,3.834064,124.62084326484019,117.67887013087488,11.346832
3390,2013-05-22 06:00:00,61.88786,1.4534212450186412,3.944586,132.30084326484018,143.56013366481298,12.262604
3391,2013-05-22 07:00:00,61.367252,1.472581019004186,4.040704,135.9008432648402,155.6919759463465,13.017487
3392,2013-05-22 08:00:00,61.290977,1.4674231310685475,4.055289,135.6008432648402,154.680989089552,13.128082
3393,2013-05-22 09:00:00,61.41793,1.453796923160553,4.0311427,135.02084326484018,152.7264144997494,12.944
3394,2013-05-22 10:00:00,62.4546,1.457399050394694,3.845019,134.74084326484018,151.78282676674124,11.440826
3395,2013-05-22 11:00:00,62.60816,1.4596575498580933,3.81902,130.6708432648402,138.06710507622978,11.21817
